zip_code,commute_time_mins_est,margin_of_error
90012,26.3,1.6
90013,26.2,3.8
90014,26.7,4.1
90015,30.0,1.5
90016,30.8,1.4
90017,33.0,2.0
90018,33.6,1.5
90019,30.4,1.1
90020,29.9,1.2
90021,27.6,5.9
90022,28.7,1.0
90023,28.1,0.9
90024,21.7,1.0
90025,24.5,1.7
90026,30.2,0.9
90027,27.2,1.3
90028,29.1,1.4
90029,32.1,1.3
90031,28.7,1.4
90032,29.6,1.3
90033,30.7,1.5
90034,26.6,0.7
90035,25.2,1.6
90036,27.3,1.0
90037,35.6,1.3
90038,33.2,1.5
90039,28.6,1.4
90040,25.2,1.9
90041,28.4,2.0
90042,30.3,1.0
90043,30.4,1.3
90044,32.0,1.0
90045,25.4,1.0
90046,26.7,1.1
90047,32.2,1.5
90048,26.0,1.8
90049,25.9,1.3
90056,25.0,2.0
90057,31.9,1.0
90058,32.3,6.8
90059,30.6,1.7
90061,31.4,1.9
90062,35.0,1.8
90063,28.8,1.4
90064,23.5,1.3
90065,29.6,1.2
90066,25.4,0.9
90067,33.8,10.4
90068,26.5,1.2
90069,28.0,1.6
90073,27.9,33.3
90077,24.8,1.5
90089,14.2,3.9
90094,28.1,2.7
91201,24.6,1.5
91202,24.9,1.7
91203,22.8,2.1
91204,24.9,1.5
91205,26.3,1.4
